action_id,name,category,subcategory
0,Idle,DailyActions,Idle
1,Walking_Woman,WalkAndRun,Walking
2,Alert,DailyActions,LookingAround
3,Arise,DailyActions,LookingAround
4,Attack,Fighting,AttackingwithWeapon
5,BackLeft_run,WalkAndRun,Running
6,BackRight_Run,WalkAndRun,Running
7,BeHit_FlyUp,Fighting,GettingHit
8,Dead,Fighting,Dying
9,ForwardLeft_Run_Fight,Fighting,Transitioning
10,ForwardRight_Run_Fight,Fighting,Transitioning
11,Idle_02,DailyActions,Idle
12,Idle_03,DailyActions,Idle
13,Jump_Run,WalkAndRun,Running
14,Run_02,WalkAndRun,Running
15,Run_03,WalkAndRun,Running
16,RunFast,WalkAndRun,Running
17,Skill_01,BodyMovements,Acting
18,Skill_02,BodyMovements,Acting
19,Skill_03,BodyMovements,Acting
20,Walk_Fight_Back,WalkAndRun,Walking
21,Walk_Fight_Forward,WalkAndRun,Walking
22,FunnyDancing_01,Dancing,Dancing
23,FunnyDancing_02,Dancing,Dancing
24,FunnyDancing_03,Dancing,Dancing
25,Agree_Gesture,DailyActions,Interacting
26,Angry_Stomp,DailyActions,Interacting
27,Big_Heart_Gesture,BodyMovements,Acting
28,Big_Wave_Hello,DailyActions,Interacting
29,Call_Gesture,BodyMovements,Acting
30,Casual_Walk,WalkAndRun,Walking
31,Catching_Breath,BodyMovements,Acting
32,Chair_Sit_Idle_F,DailyActions,Idle
33,Chair_Sit_Idle_M,DailyActions,Idle
34,Checkout_Gesture,DailyActions,Interacting
35,Clapping_Run,BodyMovements,Acting
36,Confused_Scratch,DailyActions,Idle
37,Discuss_While_Moving,DailyActions,Interacting
38,Dozing_Elderly,DailyActions,Idle
39,Excited_Walk_F,BodyMovements,Acting
40,Excited_Walk_M,BodyMovements,Acting
41,Formal_Bow,DailyActions,Interacting
42,Gentlemans_Bow,DailyActions,Interacting
43,Handbag_Walk,BodyMovements,Acting
44,Happy_jump_f,BodyMovements,Acting
45,Indoor_Play,BodyMovements,Acting
46,Jump_Rope,BodyMovements,Acting
47,Listening_Gesture,DailyActions,Interacting
48,Mirror_Viewing,DailyActions,Idle
49,Motivational_Cheer,DailyActions,Interacting
50,Phone_Call_Gesture,DailyActions,Interacting
51,Shouting_Angrily,BodyMovements,Acting
52,Sit_to_Stand_Transition_F,DailyActions,Transitioning
53,Sit_to_Stand_Transition_M,DailyActions,Transitioning
54,Squat_Stance,Dancing,Dancing
55,Stage_Walk,WalkAndRun,Walking
56,Stand_and_Chat,DailyActions,Interacting
57,Stand_to_Sit_Transition_M,DailyActions,Transitioning
58,Step_to_Sit_Transition,DailyActions,Transitioning
59,Victory_Cheer,BodyMovements,Acting
60,Walk_to_Sit,DailyActions,Transitioning
61,happy_jump_m,BodyMovements,Acting
62,penguin_walk,BodyMovements,Acting
63,Arm_Circle_Shuffle,Dancing,Dancing
64,All_Night_Dance,Dancing,Dancing
65,Bass_Beats,Dancing,Dancing
66,Boom_Dance,Dancing,Dancing
67,Bubble_Dance,Dancing,Dancing
68,Cherish_Pop_Dance,Dancing,Dancing
69,Crystal_Beads,Dancing,Dancing
70,Cardio_Dance,Dancing,Dancing
71,Denim_Pop_Dance,Dancing,Dancing
72,Dont_You_Dare,Dancing,Dancing
73,Fast_Lightning,Dancing,Dancing
74,Gangnam_Groove,Dancing,Dancing
75,Indoor_Swing,Dancing,Dancing
76,Love_You_Pop_Dance,Dancing,Dancing
77,Magic_Genie,Dancing,Dancing
78,Not_Your_Mom,Dancing,Dancing
79,OMG_Groove,Dancing,Dancing
80,Pop_Dance_LSA2,Dancing,Dancing
81,Pod_Baby_Groove,Dancing,Dancing
82,Shake_It_Off_Dance,Dancing,Dancing
83,Superlove_Pop_Dance,Dancing,Dancing
84,You_Groove,Dancing,Dancing
85,Axe_Stance,Fighting,Transitioning
86,Basic_Jump,Fighting,AttackingwithWeapon
87,Boxing_Practice,Fighting,Punching
88,Chest_Pound_Taunt,Fighting,Transitioning
89,Combat_Stance,Fighting,AttackingwithWeapon
90,Counterstrike,Fighting,Punching
91,Double_Blade_Spin,Fighting,AttackingwithWeapon
92,Double_Combo_Attack,Fighting,AttackingwithWeapon
93,Dodge_and_Counter,Fighting,Punching
94,Flying_Fist_Kick,Fighting,Punching
95,Gun_Hold_Left_Turn,Fighting,AttackingwithWeapon
96,Kung_Fu_Punch,Fighting,Punching
97,Left_Slash,Fighting,AttackingwithWeapon
98,Run_and_Shoot,Fighting,AttackingwithWeapon
99,Reaping_Swing,Fighting,Transitioning
100,Rightward_Spin,Fighting,Transitioning
101,Sword_Shout,BodyMovements,Acting
102,Sword_Judgment,Fighting,AttackingwithWeapon
103,Simple_Kick,Fighting,AttackingwithWeapon
104,Side_Shot,Fighting,AttackingwithWeapon
105,Triple_Combo_Attack,Fighting,AttackingwithWeapon
106,Confident_Walk,WalkAndRun,Walking
107,Confident_Strut,WalkAndRun,Walking
108,Flirty_Strut,WalkAndRun,Walking
109,Groovy_Walk,BodyMovements,Acting
110,Hello_Run,WalkAndRun,Running
111,Injured_Walk,WalkAndRun,Walking
